G,GS,Rtot,Pos
158,157,-16.0,OF
133,127,-3.0,3B-2B
154,152,-11.0,OF
152,151,6.0,1B
124,120,-6.0,OF
130,119,-3.0,C
155,149,5.0,3B
137,137,-8.0,OF
142,141,13.0,3B
136,132,4.0,2B-3B-SS
151,148,-3.0,2B
158,157,-5.0,OF
155,154,29.0,3B-SS
160,158,-3.0,OF-1B
133,132,-10.0,SS
134,131,-3.0,OF
149,149,-15.0,OF
152,151,-12.0,3B-1B
159,154,1.0,3B
133,132,2.0,OF
148,148,-11.0,2B
138,137,15.0,OF
143,137,-9.0,OF
122,121,1.0,OF
125,119,-4.0,3B
141,137,9.0,OF
158,158,-10.0,OF
158,157,0.0,SS
135,132,-2.0,OF
145,142,4.0,1B
148,147,17.0,3B
148,147,17.0,2B
127,122,15.0,OF
125,125,15.0,3B-OF
148,142,7.0,SS-2B-3B
144,140,-7.0,SS
138,138,14.0,OF-1B
130,128,5.0,SS-3B
145,140,16.0,OF
144,142,-9.0,3B
128,121,4.0,OF
151,151,-8.0,SS
152,148,18.0,OF
148,145,-3.0,OF
120,120,5.0,1B
142,142,10.0,OF
158,155,6.0,OF-1B
134,132,6.0,OF
138,136,0.0,SS
147,142,13.0,OF-1B
133,131,1.0,OF
124,124,-1.0,1B
133,120,-5.0,C
127,110,7.0,1B-3B-SS-OF
146,142,-3.0,3B-OF-2B-SS
158,157,1.0,OF
126,121,6.0,OF
137,128,1.0,OF-3B-2B
132,130,1.0,SS-2B
131,122,-5.0,OF
159,158,-10.0,OF
153,153,-8.0,1B-OF
136,134,7.0,SS
142,138,5.0,OF
143,143,6.0,OF
135,133,-17.0,SS
136,136,-5.0,OF
145,143,-12.0,SS
148,143,-2.0,1B
153,151,10.0,1B
142,137,1.0,OF
146,144,4.0,1B-3B
153,148,-13.0,3B
133,128,9.0,2B
123,123,0.0,3B-1B-OF
126,124,-5.0,OF
120,117,2.0,OF-1B
140,123,-4.0,2B-SS-OF-3B
159,156,11.0,SS
156,154,9.0,OF
154,154,5.0,SS
149,146,1.0,2B-SS
137,123,-7.0,OF
154,153,17.0,OF
125,122,9.0,3B-OF
142,139,-2.0,OF
146,145,5.0,C
144,138,3.0,2B
139,138,2.0,2B
139,137,-12.0,1B
145,140,8.0,OF
142,141,-5.0,OF
148,148,4.0,OF
161,159,3.0,1B
129,123,-4.0,C
132,125,-5.0,C
154,154,1.0,2B
154,153,4.0,3B
139,135,-3.0,C-OF-1B
151,150,11.0,SS-2B
147,122,-1.0,OF-3B-1B
132,124,-3.0,C
160,160,-14.0,OF
128,116,4.0,2B
137,132,-7.0,OF-1B
137,137,-15.0,3B-SS
144,142,-4.0,1B-C
124,118,2.0,1B
158,150,-2.0,1B
130,128,-5.0,1B
157,152,11.0,OF
137,115,17.0,OF
135,131,-10.0,1B
162,162,-10.0,OF
153,152,25.0,OF
120,116,8.0,2B-3B
134,126,-3.0,C
150,150,15.0,1B
144,141,1.0,3B
132,132,-11.0,OF
121,120,5.0,3B-1B
147,134,8.0,OF
149,148,7.0,SS
150,148,-7.0,2B
155,155,3.0,3B-SS
124,123,-3.0,C
141,139,27.0,3B
154,153,11.0,SS
137,122,8.0,OF
136,136,-11.0,OF-3B
142,142,-20.0,2B
124,124,6.0,OF
158,158,27.0,OF
143,142,7.0,1B-OF
162,162,2.0,SS
134,134,3.0,1B
138,122,6.0,3B-1B-OF
124,114,-1.0,OF
130,121,4.0,2B-SS-3B
122,117,9.0,SS
130,121,3.0,C
147,141,-1.0,SS
131,130,-6.0,OF
141,131,-7.0,3B-2B-1B
157,154,14.0,1B-OF
151,148,-16.0,OF-1B-C
156,155,8.0,SS
154,151,-1.0,OF
133,125,12.0,2B
158,158,-25.0,SS
