Last Name,First Name,Tm,Lg,G,GS,Rtot,Pos
Abreu,Bobby,PHI,NL,158,157,-16.0,OF
Alfonzo,Edgardo,SFG,NL,133,127,-3.0,3B-2B
Alou,Moises,CHC,NL,154,152,-11.0,OF
Bagwell,Jeff,HOU,NL,152,151,6.0,1B
Baldelli,Rocco,TBD,AL,124,120,-6.0,OF
Barrett,Michael,CHC,NL,130,119,-3.0,C
Batista,Tony,MON,NL,155,149,5.0,3B
Bautista,Danny,ARI,NL,137,137,-8.0,OF
Bell,David,PHI,NL,142,141,13.0,3B
Bellhorn,Mark,BOS,AL,136,132,4.0,2B-3B-SS
Belliard,Ronnie,CLE,AL,151,148,-3.0,2B
Beltrán,Carlos,TOT,ZZ,158,157,-5.0,OF
Beltré,Adrián,LAD,NL,155,154,29.0,3B-SS
Berkman,Lance,HOU,NL,160,158,-3.0,OF-1B
Berroa,Angel,KCR,AL,133,132,-10.0,SS
Bigbie,Larry,BAL,AL,134,131,-3.0,OF
Biggio,Craig,HOU,NL,149,149,-15.0,OF
Blake,Casey,CLE,AL,152,151,-12.0,3B-1B
Blalock,Hank,TEX,AL,159,154,1.0,3B
Bonds,Barry,SFG,NL,133,132,2.0,OF
Boone,Bret,SEA,AL,148,148,-11.0,2B
Bradley,Milton,LAD,NL,138,137,15.0,OF
Burnitz,Jeromy,COL,NL,143,137,-9.0,OF
Burrell,Pat,PHI,NL,122,121,1.0,OF
Burroughs,Sean,SDP,NL,125,119,-4.0,3B
Byrnes,Eric,OAK,AL,141,137,9.0,OF
Cabrera,Miguel,FLA,NL,158,158,-10.0,OF
Cabrera,Orlando,TOT,ZZ,158,157,0.0,SS
Cameron,Mike,NYM,NL,135,132,-2.0,OF
Casey,Sean,CIN,NL,145,142,4.0,1B
Castilla,Vinny,COL,NL,148,147,17.0,3B
Castillo,Luis,FLA,NL,148,147,17.0,2B
Chavez,Endy,MON,NL,127,122,15.0,OF
Chavez,Eric,OAK,AL,125,125,15.0,3B-OF
Cintron,Alex,ARI,NL,148,142,7.0,SS-2B-3B
Clayton,Royce,COL,NL,144,140,-7.0,SS
Conine,Jeff,FLA,NL,138,138,14.0,OF-1B
Counsell,Craig,MIL,NL,130,128,5.0,SS-3B
Crawford,Carl,TBD,AL,145,140,16.0,OF
Crede,Joe,CHW,AL,144,142,-9.0,3B
Crisp,Coco,CLE,AL,128,121,4.0,OF
Crosby,Bobby,OAK,AL,151,151,-8.0,SS
Cruz,José,TBD,AL,152,148,18.0,OF
Damon,Johnny,BOS,AL,148,145,-3.0,OF
Delgado,Carlos,TOR,AL,120,120,5.0,1B
Drew,J.D.,ATL,NL,142,142,10.0,OF
Dunn,Adam,CIN,NL,158,155,6.0,OF-1B
Dye,Jermaine,OAK,AL,134,132,6.0,OF
Eckstein,David,ANA,AL,138,136,0.0,SS
Edmonds,Jim,STL,NL,147,142,13.0,OF-1B
Encarnacion,Juan,TOT,NL,133,131,1.0,OF
Erstad,Darin,ANA,AL,124,124,-1.0,1B
Estrada,Johnny,ATL,NL,133,120,-5.0,C
Feliz,Pedro,SFG,NL,127,110,7.0,1B-3B-SS-OF
Figgins,Chone,ANA,AL,146,142,-3.0,3B-OF-2B-SS
Finley,Steve,TOT,NL,158,157,1.0,OF
Ford,Lew,MIN,AL,126,121,6.0,OF
Freel,Ryan,CIN,NL,137,128,1.0,OF-3B-2B
Furcal,Rafael,ATL,NL,132,130,1.0,SS-2B
Gerut,Jody,CLE,AL,131,122,-5.0,OF
Giles,Brian,SDP,NL,159,158,-10.0,OF
Green,Shawn,LAD,NL,153,153,-8.0,1B-OF
Greene,Khalil,SDP,NL,136,134,7.0,SS
Grissom,Marquis,SFG,NL,142,138,5.0,OF
Guerrero,Vladimir,ANA,AL,143,143,6.0,OF
Guillen,Carlos,DET,AL,135,133,-17.0,SS
Guillen,Jose,ANA,AL,136,136,-5.0,OF
Guzman,Cristian,MIN,AL,145,143,-12.0,SS
Hatteberg,Scott,OAK,AL,148,143,-2.0,1B
Helton,Todd,COL,NL,153,151,10.0,1B
Hidalgo,Richard,TOT,NL,142,137,1.0,OF
Hillenbrand,Shea,ARI,NL,146,144,4.0,1B-3B
Hinske,Eric,TOR,AL,153,148,-13.0,3B
Hudson,Orlando,TOR,AL,133,128,9.0,2B
Huff,Aubrey,TBD,AL,123,123,0.0,3B-1B-OF
Hunter,Torii,MIN,AL,126,124,-5.0,OF
Ibanez,Raul,SEA,AL,120,117,2.0,OF-1B
Infante,Omar,DET,AL,140,123,-4.0,2B-SS-OF-3B
Izturis,Cesar,LAD,NL,159,156,11.0,SS
Jenkins,Geoff,MIL,NL,156,154,9.0,OF
Jeter,Derek,NYY,AL,154,154,5.0,SS
Jimenez,D'Angelo,CIN,NL,149,146,1.0,2B-SS
Johnson,Reed,TOR,AL,137,123,-7.0,OF
Jones,Andruw,ATL,NL,154,153,17.0,OF
Jones,Chipper,ATL,NL,125,122,9.0,3B-OF
Jones,Jacque,MIN,AL,142,139,-2.0,OF
Kendall,Jason,PIT,NL,146,145,5.0,C
Kennedy,Adam,ANA,AL,144,138,3.0,2B
Kent,Jeff,HOU,NL,139,138,2.0,2B
Konerko,Paul,CHW,AL,139,137,-12.0,1B
Kotsay,Mark,OAK,AL,145,140,8.0,OF
Lawton,Matt,CLE,AL,142,141,-5.0,OF
Lee,Carlos,CHW,AL,148,148,4.0,OF
Lee,Derrek,CHC,NL,161,159,3.0,1B
Lieberthal,Mike,PHI,NL,129,123,-4.0,C
Lopez,Javy,BAL,AL,132,125,-5.0,C
Loretta,Mark,SDP,NL,154,154,1.0,2B
Lowell,Mike,FLA,NL,154,153,4.0,3B
Lo Duca,Paul,TOT,NL,139,135,-3.0,C-OF-1B
Lugo,Julio,TBD,AL,151,150,11.0,SS-2B
Mackowiak,Rob,PIT,NL,147,122,-1.0,OF-3B-1B
Martinez,Victor,CLE,AL,132,124,-3.0,C
Matsui,Hideki,NYY,AL,160,160,-14.0,OF
Miles,Aaron,COL,NL,128,116,4.0,2B
Millar,Kevin,BOS,AL,137,132,-7.0,OF-1B
Mora,Melvin,BAL,AL,137,137,-15.0,3B-SS
Nevin,Phil,SDP,NL,144,142,-4.0,1B-C
Olerud,John,TOT,AL,124,118,2.0,1B
Overbay,Lyle,MIL,NL,158,150,-2.0,1B
Palmeiro,Rafael,BAL,AL,130,128,-5.0,1B
Patterson,Corey,CHC,NL,157,152,11.0,OF
Payton,Jay,SDP,NL,137,115,17.0,OF
Pena,Carlos,DET,AL,135,131,-10.0,1B
Pierre,Juan,FLA,NL,162,162,-10.0,OF
Podsednik,Scott,MIL,NL,153,152,25.0,OF
Polanco,Placido,PHI,NL,120,116,8.0,2B-3B
Posada,Jorge,NYY,AL,134,126,-3.0,C
Pujols,Albert,STL,NL,150,150,15.0,1B
Ramirez,Aramis,CHC,NL,144,141,1.0,3B
Ramirez,Manny,BOS,AL,132,132,-11.0,OF
Randa,Joe,KCR,AL,121,120,5.0,3B-1B
Redman,Tike,PIT,NL,147,134,8.0,OF
Renteria,Edgar,STL,NL,149,148,7.0,SS
Roberts,Brian,BAL,AL,150,148,-7.0,2B
Rodriguez,Alex,NYY,AL,155,155,3.0,3B-SS
Rodriguez,Ivan,DET,AL,124,123,-3.0,C
Rolen,Scott,STL,NL,141,139,27.0,3B
Rollins,Jimmy,PHI,NL,154,153,11.0,SS
Rowand,Aaron,CHW,AL,137,122,8.0,OF
Sheffield,Gary,NYY,AL,136,136,-11.0,OF-3B
Soriano,Alfonso,TEX,AL,142,142,-20.0,2B
Sosa,Sammy,CHC,NL,124,124,6.0,OF
Suzuki,Ichiro,SEA,AL,158,158,27.0,OF
Teixeira,Mark,TEX,AL,143,142,7.0,1B-OF
Tejada,Miguel,BAL,AL,162,162,2.0,SS
Thome,Jim,PHI,NL,134,134,3.0,1B
Tracy,Chad,ARI,NL,138,122,6.0,3B-1B-OF
Tucker,Michael,SFG,NL,124,114,-1.0,OF
Uribe,Juan,CHW,AL,130,121,4.0,2B-SS-3B
Valentin,Jose,CHW,AL,122,117,9.0,SS
Varitek,Jason,BOS,AL,130,121,3.0,C
Vizquel,Omar,CLE,AL,147,141,-1.0,SS
Wells,Vernon,TOR,AL,131,130,-6.0,OF
Wigginton,Ty,TOT,NL,141,131,-7.0,3B-2B-1B
Wilkerson,Brad,MON,NL,157,154,14.0,1B-OF
Wilson,Craig,PIT,NL,151,148,-16.0,OF-1B-C
Wilson,Jack,PIT,NL,156,155,8.0,SS
Winn,Randy,SEA,AL,154,151,-1.0,OF
Womack,Tony,STL,NL,133,125,12.0,2B
Young,Michael,TEX,AL,158,158,-25.0,SS
